"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"666",666,302,1330,538,315,146,65,669,593,215,84,105
"667",667,316,1335,531,324,143,64,712,575,203,83,105
"668",668,293,1358,530,329,143,64,659,568,200,71,105
"669",669,298,1363,529,314,153,66,739,578,210,78,105
"670",670,328,1365,540,328,152,71,667,601,208,84,105
"671",671,283,1376,511,303,143,65,628,577,206,76,105
"672",672,244,1253,517,308,135,65,610,537,189,72,106
"673",673,241,1262,489,316,127,62,581,543,186,79,106
"674",674,271,1275,505,310,137,61,627,544,194,74,106
"675",675,259,1283,517,300,138,65,630,570,201,83,106
"676",676,268,1284,515,303,138,66,621,528,190,81,106
"677",677,234,1289,506,281,146,63,594,487,205,74,106
"678",678,269,1290,495,301,140,61,642,593,206,76,106
"679",679,213,1306,520,277,141,58,557,508,195,69,106
"680",680,295,1327,517,308,153,67,646,604,208,84,106
"681",681,300,1361,525,307,156,68,683,591,220,78,106
"682",682,380,1366,530,352,142,65,728,702,201,77,106
"683",683,402,1379,532,356,154,67,750,606,229,84,106
"684",684,222,1178,500,287,118,58,572,502,181,71,107
"685",685,220,1212,487,285,125,60,591,501,180,72,107
"686",686,200,1252,499,292,137,63,592,512,185,64,107
"687",687,229,1267,499,292,129,63,576,555,192,71,107
"688",688,273,1277,555,311,133,62,657,544,212,80,107
"689",689,366,1289,527,360,135,67,742,712,195,77,107
"690",690,275,1297,501,324,134,61,633,575,192,79,107
"691",691,285,1314,503,316,137,64,649,592,200,81,107
"692",692,304,1374,546,323,153,66,644,604,213,75,107
"693",693,254,1272,516,286,134,62,620,524,194,78,108
"694",694,257,1275,537,302,154,67,620,548,208,78,108
"695",695,238,1286,515,301,134,62,636,535,194,76,108
"696",696,348,1292,536,335,146,66,672,635,204,78,108
"697",697,262,1301,497,309,136,62,596,571,205,79,108
"698",698,240,1302,524,301,131,58,595,508,192,72,108
"699",699,256,1308,494,302,135,67,611,534,203,79,108
"700",700,317,1320,529,340,144,67,677,616,204,79,108
"701",701,268,1332,499,325,133,66,624,536,210,83,108
"702",702,297,1356,510,316,151,69,658,607,208,78,108
"703",703,257,1366,536,310,142,62,598,539,210,75,108
