"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"1387",1387,488,1561,530,377,161,72,772,680,206,85,171
"1388",1388,530,1564,562,423,189,78,845,734,261,100,171
"1389",1389,680,1597,529,419,178,80,866,876,243,91,171
"1390",1390,520,1635,544,391,168,73,808,741,234,88,171
"1391",1391,530,1641,552,383,171,74,826,675,233,87,171
"1392",1392,643,1647,554,396,161,74,853,744,230,96,171
"1393",1393,593,1662,536,420,174,74,861,770,241,93,171
"1394",1394,519,1691,555,374,182,75,786,693,241,88,171
"1395",1395,600,1717,552,416,179,82,846,707,245,103,171
"1396",1396,360,1464,532,352,164,66,665,618,220,88,172
"1397",1397,468,1505,541,374,146,68,788,699,226,87,172
"1398",1398,421,1576,543,354,160,76,725,588,221,87,172
"1399",1399,510,1582,556,393,163,70,823,719,223,92,172
"1400",1400,495,1592,570,383,181,82,836,657,255,101,172
"1401",1401,381,1594,528,348,171,75,727,583,232,86,172
"1402",1402,662,1650,551,426,180,78,894,814,235,97,172
"1403",1403,674,1681,538,410,169,80,908,814,248,95,172
"1404",1404,446,1468,534,407,162,70,803,723,216,82,173
"1405",1405,373,1484,514,349,157,67,734,580,219,84,173
"1406",1406,523,1492,533,407,169,75,835,873,233,85,173
"1407",1407,559,1495,544,396,158,69,822,778,233,94,173
"1408",1408,392,1532,536,352,166,78,708,610,216,85,173
"1409",1409,447,1537,516,362,154,69,731,668,227,82,173
"1410",1410,476,1555,545,372,173,77,802,692,232,93,173
"1411",1411,501,1645,536,400,176,80,768,650,244,104,173
"1412",1412,485,1661,526,354,171,79,768,688,231,88,173
"1413",1413,640,1729,562,405,176,79,851,751,256,91,173
"1414",1414,671,1731,578,426,196,82,847,766,270,100,173
"1415",1415,403,1516,521,382,166,72,767,665,227,84,174
"1416",1416,461,1536,511,402,169,71,794,698,226,89,174
"1417",1417,556,1559,581,395,167,83,842,725,230,94,174
"1418",1418,588,1578,530,381,175,77,789,751,242,92,174
"1419",1419,541,1581,543,400,169,76,826,699,241,91,174
"1420",1420,519,1611,566,388,171,76,826,649,232,96,174
"1421",1421,465,1616,529,350,166,75,773,648,236,87,174
"1422",1422,533,1626,554,414,170,74,832,689,234,91,174
"1423",1423,600,1627,540,407,175,76,839,777,231,92,174
"1424",1424,517,1644,529,399,160,73,830,689,227,85,174
"1425",1425,542,1679,535,392,177,71,829,724,241,90,174
"1426",1426,582,1816,550,385,189,80,825,710,260,95,174
"1427",1427,485,1560,543,385,177,70,770,621,235,88,175
"1428",1428,510,1579,543,385,176,79,836,705,240,94,175
"1429",1429,589,1579,553,410,168,79,841,781,228,98,175
"1430",1430,476,1597,534,358,169,71,763,640,226,82,175
"1431",1431,410,1601,562,372,175,71,762,623,242,90,175
"1432",1432,574,1649,531,387,172,77,798,693,237,96,175
"1433",1433,540,1692,516,383,188,74,737,700,274,102,175
"1434",1434,599,1709,596,389,189,72,830,760,275,91,175
"1435",1435,406,1587,536,364,178,73,727,597,248,87,176
"1436",1436,490,1587,553,377,184,80,791,681,246,97,176
"1437",1437,445,1592,550,372,163,74,750,650,226,87,176
"1438",1438,680,1619,563,429,181,78,861,743,250,98,176
"1439",1439,577,1654,549,414,176,75,833,713,238,86,176
"1440",1440,593,1668,552,404,186,79,798,728,251,91,176
"1441",1441,482,1696,535,363,180,76,762,660,244,83,176
"1442",1442,617,1696,551,410,172,71,842,801,232,87,176
"1443",1443,443,1506,532,374,152,73,730,655,220,85,177
"1444",1444,447,1537,551,390,167,74,813,604,223,86,177
"1445",1445,485,1543,553,362,165,69,792,666,225,84,177
"1446",1446,482,1591,531,374,167,73,762,627,232,87,177
"1447",1447,483,1598,523,352,166,75,738,644,233,92,177
"1448",1448,505,1601,532,395,167,79,854,669,236,94,177
"1449",1449,510,1607,552,403,183,72,811,696,259,95,177
"1450",1450,417,1611,521,361,163,72,750,674,230,82,177
"1451",1451,427,1622,552,356,171,75,740,631,238,87,177
"1452",1452,535,1630,561,386,180,78,809,719,239,98,177
"1453",1453,492,1680,524,365,178,77,749,646,246,95,177
"1454",1454,543,1682,544,403,173,79,799,684,246,92,177
"1455",1455,519,1691,561,383,174,73,765,680,225,83,177
"1456",1456,591,1504,568,410,163,73,861,830,214,89,178
"1457",1457,431,1515,534,378,159,67,737,643,228,81,178
"1458",1458,400,1539,535,340,162,69,690,626,220,87,178
"1459",1459,555,1579,547,413,171,77,849,735,238,94,178
"1460",1460,525,1590,545,391,169,79,801,694,253,98,178
"1461",1461,691,1620,539,439,158,79,915,774,220,92,178
"1462",1462,596,1634,586,396,171,80,828,755,238,95,178
"1463",1463,559,1668,527,406,179,77,795,685,234,84,178
"1464",1464,587,1678,548,387,175,78,832,729,244,94,178
"1465",1465,583,1701,540,403,195,75,886,746,267,92,178
"1466",1466,521,1719,565,398,183,75,809,717,248,89,178
"1467",1467,490,1542,505,374,157,75,775,684,213,93,179
"1468",1468,472,1620,554,395,167,75,804,673,232,89,179
"1469",1469,631,1628,573,421,177,73,890,791,236,92,179
"1470",1470,488,1633,516,376,168,74,764,730,238,82,179
"1471",1471,577,1656,558,394,172,81,826,738,250,99,179
"1472",1472,642,1751,580,430,191,80,871,760,264,100,179
"1473",1473,595,1786,581,392,182,77,830,722,260,99,179
"1474",1474,327,1432,512,337,157,66,708,597,203,79,180
"1475",1475,543,1599,539,402,182,78,830,723,254,88,180
"1476",1476,399,1604,514,344,169,67,743,660,225,83,180
"1477",1477,560,1646,549,396,170,71,843,787,241,92,180
"1478",1478,567,1669,560,398,175,74,786,765,242,91,180
"1479",1479,645,1713,532,409,184,79,844,768,241,101,180
"1480",1480,459,1717,531,376,175,74,760,628,233,88,180
"1481",1481,654,1722,605,424,197,79,825,730,271,109,180
"1482",1482,525,1548,538,382,178,77,807,698,231,87,181
"1483",1483,604,1557,570,412,172,74,855,737,239,91,181
"1484",1484,477,1592,536,381,166,77,774,665,218,95,181
"1485",1485,538,1594,528,384,162,71,806,708,227,90,181
"1486",1486,502,1613,540,400,166,77,825,693,230,84,181
"1487",1487,513,1624,531,407,172,72,766,727,229,80,181
"1488",1488,910,1643,541,474,184,84,1074,1003,248,104,181
"1489",1489,632,1676,528,417,180,73,832,725,249,98,181
"1490",1490,568,1708,533,381,180,79,792,672,245,98,181
"1491",1491,646,1722,562,429,195,81,891,763,249,95,181
"1492",1492,581,1728,526,396,183,74,792,695,256,91,181
"1493",1493,529,1562,524,393,158,74,793,744,223,91,182
"1494",1494,694,1566,526,473,170,78,932,846,232,88,182
"1495",1495,553,1576,524,397,165,79,774,679,225,101,182
"1496",1496,525,1597,545,409,172,73,824,682,241,94,182
"1497",1497,613,1604,533,450,177,77,907,790,244,96,182
"1498",1498,524,1643,537,413,173,70,845,682,238,86,182
"1499",1499,600,1658,524,405,176,77,862,739,245,95,182
"1500",1500,567,1667,548,403,168,75,837,721,240,90,182
"1501",1501,563,1537,548,418,162,73,870,795,231,95,183
"1502",1502,579,1538,545,423,167,80,858,770,227,94,183
"1503",1503,500,1540,531,397,166,74,801,637,226,88,183
"1504",1504,450,1550,521,370,170,75,791,617,232,89,183
"1505",1505,430,1554,531,369,179,75,732,589,241,85,183
"1506",1506,404,1567,518,352,166,73,724,615,233,83,183
"1507",1507,557,1569,523,404,161,73,825,722,231,91,183
"1508",1508,567,1610,550,409,183,75,828,664,250,92,183
"1509",1509,485,1615,521,374,169,76,775,668,228,86,183
"1510",1510,494,1636,547,391,173,72,774,704,232,90,183
"1511",1511,474,1638,552,376,178,75,796,668,240,89,183
"1512",1512,546,1640,539,391,164,72,794,698,238,93,183
"1513",1513,678,1648,550,407,184,86,859,775,245,102,183
"1514",1514,470,1662,532,366,170,79,739,646,236,88,183
"1515",1515,666,1675,543,414,167,76,847,748,233,98,183
"1516",1516,552,1680,546,396,180,78,819,696,253,103,183
"1517",1517,647,1766,565,381,187,80,805,724,263,108,183
"1518",1518,424,1512,527,360,159,70,757,664,213,87,184
"1519",1519,477,1527,528,377,152,72,763,692,224,83,184
"1520",1520,400,1548,546,345,177,75,752,667,242,82,184
"1521",1521,435,1570,533,384,169,75,790,700,240,88,184
"1522",1522,547,1577,533,386,172,72,810,825,233,94,184
"1523",1523,668,1583,567,425,164,77,874,857,221,92,184
"1524",1524,448,1598,542,375,171,69,776,664,225,83,184
"1525",1525,497,1608,541,398,171,69,841,718,229,81,184
"1526",1526,469,1612,563,381,181,71,748,658,251,95,184
"1527",1527,523,1636,541,399,177,72,795,666,229,85,184
"1528",1528,537,1638,538,365,173,72,777,737,229,93,184
"1529",1529,763,1765,564,433,190,77,913,903,269,90,184
"1530",1530,494,1541,536,395,163,68,803,641,234,89,185
"1531",1531,449,1583,552,369,168,73,798,635,227,88,185
"1532",1532,558,1589,539,387,172,75,792,725,232,84,185
"1533",1533,524,1591,564,377,183,84,826,708,240,96,185
"1534",1534,723,1603,531,406,184,77,875,842,257,96,185
"1535",1535,515,1610,528,382,176,75,828,680,225,90,185
"1536",1536,522,1621,525,385,178,78,825,760,242,90,185
"1537",1537,552,1622,562,418,189,79,857,719,263,96,185
"1538",1538,502,1626,537,402,171,74,783,695,253,91,185
"1539",1539,551,1649,552,399,176,76,802,690,239,89,185
"1540",1540,582,1659,555,392,171,74,828,685,231,95,185
"1541",1541,593,1661,554,405,177,79,827,720,249,100,185
"1542",1542,541,1789,550,388,186,80,802,669,249,87,185
"1543",1543,414,1503,507,355,162,70,719,690,216,82,186
"1544",1544,520,1541,542,420,162,74,828,721,222,93,186
"1545",1545,523,1568,554,390,169,74,814,706,237,91,186
"1546",1546,529,1595,554,393,183,76,843,676,249,93,186
"1547",1547,544,1611,520,418,172,74,819,704,244,97,186
"1548",1548,525,1644,565,392,176,80,818,711,249,98,186
"1549",1549,517,1658,530,393,168,77,796,675,239,93,186
"1550",1550,684,1682,552,435,170,74,886,764,236,93,186
"1551",1551,706,1795,572,433,184,82,909,773,265,101,186
"1552",1552,449,1471,524,374,169,77,779,686,231,87,187
"1553",1553,486,1573,540,383,162,79,790,644,231,92,187
"1554",1554,567,1579,561,395,167,81,857,751,226,98,187
"1555",1555,423,1585,531,362,174,69,748,643,239,84,187
"1556",1556,498,1591,531,372,168,77,756,666,218,99,187
"1557",1557,592,1643,526,409,169,77,843,720,229,90,187
"1558",1558,421,1538,526,347,168,70,765,684,221,80,188
"1559",1559,500,1542,534,371,163,77,771,653,227,93,188
"1560",1560,465,1548,560,411,171,73,850,731,225,87,188
"1561",1561,582,1548,541,347,158,75,743,649,224,84,188
"1562",1562,507,1577,529,406,163,71,766,704,216,83,188
"1563",1563,520,1594,516,383,163,77,805,661,220,84,188
"1564",1564,508,1612,539,380,173,80,807,641,230,90,188
"1565",1565,535,1623,542,378,163,74,794,705,228,94,188
"1566",1566,601,1636,537,399,173,74,818,709,233,101,188
"1567",1567,482,1661,525,408,177,76,782,710,247,96,188
"1568",1568,479,1524,545,384,160,75,782,707,224,90,189
"1569",1569,477,1532,557,391,167,73,824,697,243,94,189
"1570",1570,466,1572,543,369,155,67,766,611,217,92,189
"1571",1571,598,1602,532,420,180,80,888,772,241,93,189
"1572",1572,572,1605,533,395,168,73,825,738,229,90,189
"1573",1573,712,1633,571,419,172,77,916,793,243,95,189
"1574",1574,588,1638,542,391,187,77,838,736,256,95,189
"1575",1575,612,1678,564,420,179,86,883,816,243,97,189
"1576",1576,623,1702,563,421,175,79,862,771,234,95,189
"1577",1577,554,1719,550,387,174,75,813,702,239,91,189
"1578",1578,528,1552,544,386,174,74,819,746,231,88,190
"1579",1579,469,1568,522,364,160,68,731,682,225,81,190
"1580",1580,531,1590,529,401,178,80,820,719,240,87,190
"1581",1581,652,1595,528,408,175,70,869,855,249,91,190
"1582",1582,561,1617,530,393,173,78,830,716,233,93,190
"1583",1583,741,1666,554,449,168,82,969,836,236,105,190
"1584",1584,584,1680,549,416,152,80,863,779,242,91,190
"1585",1585,535,1681,524,393,184,76,814,711,240,88,190
"1586",1586,684,1689,551,420,174,82,857,729,242,99,190
"1587",1587,589,1597,546,426,175,83,855,730,238,96,191
"1588",1588,511,1606,525,379,169,78,786,694,233,92,191
"1589",1589,577,1607,557,391,173,76,824,716,239,98,191
"1590",1590,524,1612,544,390,178,79,777,717,236,94,191
"1591",1591,496,1669,544,375,164,66,799,663,239,88,191
"1592",1592,421,1559,527,348,155,69,733,597,214,86,192
"1593",1593,506,1592,530,373,154,70,762,657,226,88,192
"1594",1594,480,1612,523,377,165,69,776,708,223,90,192
"1595",1595,497,1613,526,350,174,72,756,673,233,86,192
"1596",1596,748,1627,559,473,174,71,1036,1054,235,92,192
"1597",1597,475,1633,532,396,182,73,755,685,240,86,192
"1598",1598,565,1697,544,372,183,72,795,745,249,96,192
"1599",1599,460,1530,528,356,170,71,779,688,228,89,193
"1600",1600,561,1540,535,384,172,78,859,777,227,97,193
"1601",1601,452,1562,565,389,172,77,827,665,236,91,193
"1602",1602,572,1594,564,394,165,77,829,734,233,93,193
"1603",1603,516,1635,540,400,171,74,817,701,234,92,193
"1604",1604,496,1651,544,364,165,72,763,700,234,85,193
"1605",1605,565,1691,546,389,175,74,795,692,232,91,193
"1606",1606,520,1565,525,409,154,69,818,699,221,84,194
"1607",1607,464,1568,520,376,169,70,765,710,224,105,194
"1608",1608,508,1583,525,392,169,76,789,627,230,98,194
"1609",1609,608,1591,567,426,169,70,878,761,228,92,194
"1610",1610,580,1599,549,410,170,79,841,761,240,86,194
"1611",1611,506,1623,540,391,161,76,795,682,255,84,194
"1612",1612,566,1726,541,391,174,74,820,698,250,96,194
"1613",1613,463,1535,517,374,169,69,780,679,224,85,195
"1614",1614,501,1579,529,401,179,77,798,680,265,92,195
"1615",1615,635,1629,571,405,171,76,841,765,240,90,195
"1616",1616,546,1634,544,391,159,67,818,756,212,90,195
"1617",1617,537,1651,544,383,166,77,827,678,238,89,195
"1618",1618,678,1653,538,403,178,77,853,861,245,99,195
"1619",1619,677,1693,573,410,182,72,856,866,271,98,195
"1620",1620,613,1700,562,402,173,78,863,677,269,96,195
"1621",1621,581,1709,568,375,187,80,812,654,248,90,195
"1622",1622,682,1739,563,429,209,82,885,734,276,100,195
"1623",1623,625,1583,566,421,168,73,869,755,234,94,196
"1624",1624,513,1591,524,404,172,74,808,735,232,97,196
"1625",1625,431,1602,550,372,172,69,766,655,248,88,196
"1626",1626,725,1629,577,446,180,74,904,880,249,87,196
"1627",1627,555,1654,537,383,172,82,804,716,253,102,196
"1628",1628,550,1694,541,400,180,75,815,695,258,93,196
"1629",1629,678,1724,538,430,178,85,907,830,249,94,196
"1630",1630,655,1730,551,434,176,77,863,714,261,94,196
"1631",1631,437,1574,534,379,176,81,737,630,237,92,197
"1632",1632,492,1594,540,393,175,72,797,678,229,87,197
"1633",1633,492,1604,557,393,172,76,783,680,237,90,197
"1634",1634,507,1635,523,388,183,79,813,624,234,96,197
"1635",1635,589,1685,563,427,174,82,867,718,244,93,197
"1636",1636,670,1760,557,423,194,87,875,840,256,100,197
"1637",1637,492,1575,544,392,157,69,825,673,227,94,198
"1638",1638,560,1590,562,420,162,72,875,715,225,91,198
"1639",1639,552,1599,558,398,159,73,802,689,222,84,198
"1640",1640,570,1605,516,397,167,70,844,775,221,87,198
"1641",1641,490,1621,555,404,177,71,806,709,235,90,198
"1642",1642,506,1633,544,387,188,74,776,667,248,92,198
"1643",1643,543,1644,560,392,178,82,841,732,242,96,198
"1644",1644,533,1692,551,364,174,68,766,749,241,87,198
"1645",1645,537,1552,516,413,166,72,832,738,221,84,199
"1646",1646,448,1568,511,386,158,75,756,669,224,86,199
"1647",1647,576,1577,539,393,165,72,823,767,225,91,199
"1648",1648,481,1588,587,386,177,77,812,700,245,93,199
"1649",1649,530,1635,552,418,173,77,840,672,244,100,199
"1650",1650,651,1639,546,403,170,75,856,738,222,94,199
"1651",1651,500,1644,542,372,175,74,769,706,234,89,199
"1652",1652,625,1672,551,398,174,80,874,749,243,92,199
"1653",1653,642,1678,530,418,175,77,853,689,248,99,199
"1654",1654,841,1732,551,462,186,87,955,868,263,98,199
"1655",1655,470,1493,540,373,156,72,821,642,216,83,200
"1656",1656,476,1579,546,377,169,75,783,661,218,84,200
"1657",1657,528,1584,548,388,173,82,852,703,241,93,200
"1658",1658,550,1625,550,390,179,77,783,684,231,98,200
"1659",1659,544,1633,565,425,174,72,821,729,223,86,200
"1660",1660,796,1651,568,481,183,81,948,922,256,98,200
"1661",1661,513,1662,563,372,181,77,808,655,253,88,200
"1662",1662,553,1691,537,388,177,81,805,658,240,93,200
"1663",1663,605,1693,584,419,187,78,828,765,259,89,200
"1664",1664,574,1756,550,400,182,83,800,705,250,91,200
"1665",1665,506,1526,521,392,169,74,771,667,234,93,201
"1666",1666,504,1550,531,386,168,75,786,705,228,91,201
"1667",1667,533,1605,556,396,169,81,802,710,229,91,201
"1668",1668,635,1609,546,473,177,76,872,810,247,91,201
"1669",1669,531,1621,553,358,174,75,774,687,235,89,201
"1670",1670,714,1634,554,439,178,80,953,782,244,99,201
"1671",1671,420,1524,521,358,154,72,729,640,221,81,202
"1672",1672,494,1537,547,372,158,75,797,699,221,90,202
"1673",1673,734,1555,535,417,172,79,878,910,229,83,202
"1674",1674,502,1614,522,388,165,71,789,715,237,85,202
"1675",1675,532,1644,532,404,170,77,853,678,235,83,202
"1676",1676,405,1536,545,380,162,71,825,700,225,84,203
"1677",1677,483,1568,538,375,166,70,799,674,224,87,203
"1678",1678,646,1592,549,426,167,77,889,775,227,85,203
"1679",1679,489,1597,537,391,163,75,796,679,219,85,203
"1680",1680,572,1614,559,398,181,75,821,728,238,98,203
"1681",1681,714,1626,557,436,172,73,889,889,234,89,203
"1682",1682,566,1627,532,402,174,81,852,706,228,90,203
"1683",1683,767,1631,563,443,171,86,920,853,241,107,203
"1684",1684,561,1651,536,391,169,74,829,730,237,91,203
"1685",1685,746,1652,572,440,180,84,916,915,248,94,203
"1686",1686,651,1666,560,433,182,84,930,731,247,106,203
"1687",1687,582,1697,536,389,179,79,800,795,250,95,203
"1688",1688,518,1697,548,374,166,73,743,641,243,87,203
"1689",1689,590,1705,562,402,182,78,852,745,241,90,203
"1690",1690,617,1725,546,437,184,74,873,843,248,88,203
"1691",1691,656,1729,561,420,183,75,864,760,244,95,203
"1692",1692,533,1588,575,382,171,75,804,685,261,85,204
"1693",1693,414,1600,525,356,161,67,706,632,225,82,204
"1694",1694,528,1621,540,401,179,84,818,696,245,101,204
"1695",1695,539,1663,568,380,171,73,767,658,244,94,204
"1696",1696,535,1675,530,401,167,75,798,680,225,83,204
"1697",1697,599,1694,559,417,173,76,804,763,257,88,204
"1698",1698,488,1546,543,377,159,77,779,700,228,89,205
"1699",1699,558,1592,526,385,171,72,789,742,224,92,205
"1700",1700,455,1601,541,364,169,72,787,614,226,95,205
"1701",1701,532,1609,536,390,175,71,809,653,229,87,205
"1702",1702,567,1642,549,403,177,81,880,658,231,93,205
"1703",1703,600,1703,525,391,170,82,820,671,233,93,205
"1704",1704,600,1725,570,407,174,70,833,764,244,94,205
"1705",1705,492,1740,538,394,168,71,810,603,243,91,205
"1706",1706,512,1569,548,404,168,78,830,715,233,87,206
"1707",1707,590,1629,554,415,169,76,832,756,245,84,206
"1708",1708,803,1630,550,480,177,81,983,1010,240,96,206
"1709",1709,652,1635,602,425,149,76,846,865,239,92,206
"1710",1710,503,1638,557,395,172,72,824,665,235,89,206
"1711",1711,601,1644,568,437,171,77,870,721,233,91,206
"1712",1712,539,1649,544,376,170,77,794,656,235,93,206
"1713",1713,574,1657,540,424,181,79,845,751,258,90,206
"1714",1714,551,1687,546,397,176,70,806,715,249,89,206
"1715",1715,572,1696,541,397,169,77,859,762,244,92,206
"1716",1716,624,1697,550,417,179,78,825,743,244,94,206
"1717",1717,721,1777,545,423,183,79,914,774,258,99,206
"1718",1718,587,1542,551,407,170,74,892,761,230,89,207
"1719",1719,480,1553,537,378,164,72,777,672,228,89,207
"1720",1720,469,1558,530,356,173,81,769,630,237,97,207
"1721",1721,512,1565,516,416,162,73,822,695,230,86,207
"1722",1722,529,1577,552,407,162,75,860,680,229,97,207
"1723",1723,489,1586,531,381,164,69,792,684,230,90,207
"1724",1724,481,1591,560,387,176,71,818,664,230,90,207
"1725",1725,581,1616,546,416,160,72,847,724,220,84,207
"1726",1726,532,1659,541,417,184,88,873,685,244,100,207
"1727",1727,709,1677,579,426,144,77,903,800,232,96,207
"1728",1728,542,1508,542,400,157,70,835,727,221,87,208
"1729",1729,557,1516,540,396,163,77,840,749,230,84,208
"1730",1730,535,1516,545,398,165,68,864,716,218,86,208
"1731",1731,490,1572,536,374,176,73,799,650,229,87,208
"1732",1732,549,1619,585,401,175,77,840,678,239,93,208
"1733",1733,474,1620,551,380,165,74,773,630,236,83,208
"1734",1734,525,1639,557,385,171,74,804,634,236,93,208
"1735",1735,549,1648,549,407,175,72,852,693,235,85,208
"1736",1736,781,1654,546,461,177,78,958,937,250,91,208
"1737",1737,602,1657,544,409,178,69,855,711,241,90,208
"1738",1738,630,1681,544,407,176,74,870,747,242,89,208
"1739",1739,580,1705,553,385,186,79,777,769,247,91,208
"1740",1740,364,1491,506,343,152,68,707,647,215,80,209
"1741",1741,411,1549,528,375,175,67,721,674,231,78,209
"1742",1742,416,1571,535,380,164,74,775,657,220,91,209
"1743",1743,516,1578,564,395,173,74,804,766,235,82,209
"1744",1744,476,1606,529,386,158,74,789,666,222,91,209
"1745",1745,578,1623,545,383,170,71,793,821,234,87,209
"1746",1746,503,1659,557,409,182,68,820,662,247,91,209
"1747",1747,533,1663,545,377,166,71,771,631,230,85,209
"1748",1748,476,1665,536,376,177,74,775,679,230,89,209
"1749",1749,578,1666,551,385,185,77,816,746,251,94,209
"1750",1750,629,1677,535,419,183,79,878,798,263,101,209
"1751",1751,538,1595,544,405,156,73,843,642,219,88,210
"1752",1752,517,1596,540,391,165,72,824,701,222,84,210
"1753",1753,463,1609,536,372,171,68,765,693,222,87,210
"1754",1754,569,1636,536,405,176,73,821,736,242,94,210
"1755",1755,624,1641,553,410,170,77,857,705,243,92,210
"1756",1756,654,1656,570,427,180,77,911,802,237,99,210
"1757",1757,433,1513,525,371,161,66,757,631,223,78,211
"1758",1758,520,1524,582,421,175,79,773,694,246,95,211
"1759",1759,476,1601,542,392,168,76,809,678,236,88,211
"1760",1760,520,1617,533,399,165,79,804,718,222,90,211
"1761",1761,496,1623,512,366,171,79,792,662,233,94,211
"1762",1762,568,1627,542,412,162,73,859,742,225,95,211
"1763",1763,730,1813,554,433,190,80,905,823,259,95,211
"1764",1764,479,1590,546,385,174,74,787,698,242,89,212
"1765",1765,552,1634,534,381,158,73,773,629,231,86,212
"1766",1766,623,1639,525,393,175,80,856,824,230,86,212
"1767",1767,537,1640,556,407,179,72,831,702,251,96,212
"1768",1768,509,1671,560,394,180,79,820,660,242,90,212
"1769",1769,503,1671,535,376,175,74,800,757,246,90,212
"1770",1770,760,1705,537,437,180,81,950,814,239,94,212
"1771",1771,501,1553,533,374,175,77,792,690,238,89,213
"1772",1772,414,1607,532,361,161,71,722,602,215,82,213
"1773",1773,536,1612,530,379,173,77,792,729,229,89,213
"1774",1774,514,1635,542,391,179,81,824,689,238,94,213
"1775",1775,567,1635,579,399,168,79,841,699,239,90,213
"1776",1776,619,1665,541,409,176,79,858,693,229,99,213
"1777",1777,504,1694,513,385,178,79,776,685,227,96,213
"1778",1778,640,1770,551,403,187,84,859,761,272,95,213
"1779",1779,447,1574,547,367,167,68,750,721,231,100,214
"1780",1780,637,1585,558,415,169,78,879,716,234,94,214
"1781",1781,579,1604,537,415,167,75,838,738,226,88,214
"1782",1782,566,1624,535,398,169,78,845,666,236,97,214
"1783",1783,536,1630,533,382,168,76,821,694,234,99,214
"1784",1784,575,1653,554,404,170,76,868,757,233,91,214
"1785",1785,542,1656,552,407,174,80,816,683,244,94,214
"1786",1786,728,1681,547,421,178,78,859,777,251,105,214
"1787",1787,551,1605,557,391,182,76,848,774,237,88,215
"1788",1788,717,1640,562,450,176,78,935,815,242,90,215
"1789",1789,647,1737,565,412,178,78,890,800,245,96,215
"1790",1790,495,1543,546,408,176,72,763,683,235,85,216
"1791",1791,528,1567,546,396,177,77,804,707,268,116,216
"1792",1792,445,1600,518,376,155,68,750,665,227,87,216
"1793",1793,543,1641,525,393,168,76,773,667,232,87,216
"1794",1794,537,1652,548,378,169,78,778,673,236,89,216
"1795",1795,539,1720,545,370,184,74,859,658,250,89,216
"1796",1796,600,1732,544,396,186,79,840,777,246,101,216
"1797",1797,457,1499,532,375,155,70,796,673,208,80,217
"1798",1798,497,1538,526,401,172,80,832,712,240,96,217
"1799",1799,557,1575,550,396,168,72,834,740,234,90,217
"1800",1800,725,1649,559,442,176,77,938,854,240,89,217
"1801",1801,773,1676,552,442,180,82,964,943,244,101,218
"1802",1802,701,1712,544,413,186,83,831,726,269,99,219
"1803",1803,642,1603,553,419,175,77,860,821,242,88,220
"1804",1804,424,1642,541,376,164,69,783,677,239,95,220
"1805",1805,555,1673,544,393,171,75,830,679,239,97,220
"1806",1806,507,1588,530,384,161,76,813,638,230,87,221
"1807",1807,540,1661,548,398,176,71,797,702,238,96,221
"1808",1808,466,1543,536,388,169,70,803,711,227,87,222
"1809",1809,497,1577,531,402,178,76,833,718,219,84,222
"1810",1810,596,1663,534,410,172,79,847,738,246,90,222
"1811",1811,450,1586,546,387,167,72,815,661,237,92,223
"1812",1812,519,1572,557,406,168,73,854,693,222,84,224
"1813",1813,686,1704,548,422,184,76,855,806,238,91,224
"1814",1814,526,1675,536,376,162,72,785,601,241,91,230
