"Index","Date","Accidents"
"355",2005-12-21,624
"356",2005-12-22,534
"357",2005-12-23,597
"358",2005-12-24,434
"359",2005-12-25,199
"360",2005-12-26,312
"361",2005-12-27,408
"362",2005-12-28,361
"363",2005-12-29,292
"364",2005-12-30,373
"365",2005-12-31,345
"366",2006-01-01,282
"367",2006-01-02,264
"368",2006-01-03,400
"369",2006-01-04,422
"370",2006-01-05,420
"371",2006-01-06,496
"372",2006-01-07,372
"373",2006-01-08,345
"374",2006-01-09,481
"375",2006-01-10,488
"376",2006-01-11,608
"377",2006-01-12,612
"378",2006-01-13,587
"379",2006-01-14,526
"380",2006-01-15,324
"381",2006-01-16,518
"382",2006-01-17,529
"383",2006-01-18,561
"384",2006-01-19,488
"385",2006-01-20,587
"386",2006-01-21,497
"387",2006-01-22,334
"388",2006-01-23,409
"389",2006-01-24,508
"390",2006-01-25,547
"391",2006-01-26,510
"392",2006-01-27,650
"393",2006-01-28,548
"394",2006-01-29,442
"395",2006-01-30,520
"396",2006-01-31,564
"397",2006-02-01,516
"398",2006-02-02,521
"399",2006-02-03,653
"400",2006-02-04,548
"401",2006-02-05,428
"402",2006-02-06,540
"403",2006-02-07,547
"404",2006-02-08,582
"405",2006-02-09,537
"406",2006-02-10,601
"407",2006-02-11,423
"408",2006-02-12,426
"409",2006-02-13,492
"410",2006-02-14,600
"411",2006-02-15,453
"412",2006-02-16,511
"413",2006-02-17,554
"414",2006-02-18,425
"415",2006-02-19,377
"416",2006-02-20,486
"417",2006-02-21,501
"418",2006-02-22,484
"419",2006-02-23,559
"420",2006-02-24,549
"421",2006-02-25,441
"422",2006-02-26,326
"423",2006-02-27,420
"424",2006-02-28,567
"425",2006-03-01,580
"426",2006-03-02,585
"427",2006-03-03,661
"428",2006-03-04,496
"429",2006-03-05,344
"430",2006-03-06,555
"431",2006-03-07,568
"432",2006-03-08,546
"433",2006-03-09,479
"434",2006-03-10,525
"435",2006-03-11,384
"436",2006-03-12,307
"437",2006-03-13,381
"438",2006-03-14,457
"439",2006-03-15,429
"440",2006-03-16,444
"441",2006-03-17,463
"442",2006-03-18,385
"443",2006-03-19,334
"444",2006-03-20,362
"445",2006-03-21,397
"446",2006-03-22,485
"447",2006-03-23,486
"448",2006-03-24,677
"449",2006-03-25,557
"450",2006-03-26,408
"451",2006-03-27,502
"452",2006-03-28,509
"453",2006-03-29,493
"454",2006-03-30,455
"455",2006-03-31,601
"456",2006-04-01,517
"457",2006-04-02,371
"458",2006-04-03,535
"459",2006-04-04,441
"460",2006-04-05,547
"461",2006-04-06,495
"462",2006-04-07,520
"463",2006-04-08,503
"464",2006-04-09,415
"465",2006-04-10,502
"466",2006-04-11,501
"467",2006-04-12,428
"468",2006-04-13,525
"469",2006-04-14,452
"470",2006-04-15,373
"471",2006-04-16,333
"472",2006-04-17,358
"473",2006-04-18,439
"474",2006-04-19,474
"475",2006-04-20,457
"476",2006-04-21,504
"477",2006-04-22,401
"478",2006-04-23,394
"479",2006-04-24,428
"480",2006-04-25,482
"481",2006-04-26,497
"482",2006-04-27,438
"483",2006-04-28,609
"484",2006-04-29,500
"485",2006-04-30,365
"486",2006-05-01,439
"487",2006-05-02,462
"488",2006-05-03,539
"489",2006-05-04,497
"490",2006-05-05,653
"491",2006-05-06,493
"492",2006-05-07,471
"493",2006-05-08,577
"494",2006-05-09,480
"495",2006-05-10,558
"496",2006-05-11,628
"497",2006-05-12,613
"498",2006-05-13,506
"499",2006-05-14,365
"500",2006-05-15,600
"501",2006-05-16,544
"502",2006-05-17,561
"503",2006-05-18,503
"504",2006-05-19,592
"505",2006-05-20,488
"506",2006-05-21,487
"507",2006-05-22,592
"508",2006-05-23,505
"509",2006-05-24,532
"510",2006-05-25,515
"511",2006-05-26,653
"512",2006-05-27,475
"513",2006-05-28,397
"514",2006-05-29,359
"515",2006-05-30,514
"516",2006-05-31,505
"517",2006-06-01,503
"518",2006-06-02,552
"519",2006-06-03,545
"520",2006-06-04,440
"521",2006-06-05,487
"522",2006-06-06,538
"523",2006-06-07,598
"524",2006-06-08,598
"525",2006-06-09,652
"526",2006-06-10,624
"527",2006-06-11,461
"528",2006-06-12,582
"529",2006-06-13,535
"530",2006-06-14,493
"531",2006-06-15,572
"532",2006-06-16,613
"533",2006-06-17,486
"534",2006-06-18,470
"535",2006-06-19,476
"536",2006-06-20,565
"537",2006-06-21,510
"538",2006-06-22,476
"539",2006-06-23,559
"540",2006-06-24,514
"541",2006-06-25,417
"542",2006-06-26,590
"543",2006-06-27,449
"544",2006-06-28,557
"545",2006-06-29,548
"546",2006-06-30,625
"547",2006-07-01,572
"548",2006-07-02,462
"549",2006-07-03,554
"550",2006-07-04,584
"551",2006-07-05,541
"552",2006-07-06,549
"553",2006-07-07,540
"554",2006-07-08,470
"555",2006-07-09,415
"556",2006-07-10,558
"557",2006-07-11,587
"558",2006-07-12,562
"559",2006-07-13,553
"560",2006-07-14,685
"561",2006-07-15,527
"562",2006-07-16,464
"563",2006-07-17,592
"564",2006-07-18,602
"565",2006-07-19,612
"566",2006-07-20,513
"567",2006-07-21,616
"568",2006-07-22,513
"569",2006-07-23,417
"570",2006-07-24,536
"571",2006-07-25,529
"572",2006-07-26,508
"573",2006-07-27,510
"574",2006-07-28,580
"575",2006-07-29,497
"576",2006-07-30,430
"577",2006-07-31,593
"578",2006-08-01,544
"579",2006-08-02,575
"580",2006-08-03,493
"581",2006-08-04,508
"582",2006-08-05,475
"583",2006-08-06,407
"584",2006-08-07,481
"585",2006-08-08,539
"586",2006-08-09,509
"587",2006-08-10,493
"588",2006-08-11,495
"589",2006-08-12,476
"590",2006-08-13,445
"591",2006-08-14,488
"592",2006-08-15,440
"593",2006-08-16,494
"594",2006-08-17,567
"595",2006-08-18,638
"596",2006-08-19,542
"597",2006-08-20,395
"598",2006-08-21,457
"599",2006-08-22,423
"600",2006-08-23,537
"601",2006-08-24,506
"602",2006-08-25,567
"603",2006-08-26,455
"604",2006-08-27,414
"605",2006-08-28,416
"606",2006-08-29,547
"607",2006-08-30,510
"608",2006-08-31,457
"609",2006-09-01,594
"610",2006-09-02,547
"611",2006-09-03,433
"612",2006-09-04,484
"613",2006-09-05,499
"614",2006-09-06,506
"615",2006-09-07,624
"616",2006-09-08,726
"617",2006-09-09,567
"618",2006-09-10,479
"619",2006-09-11,520
"620",2006-09-12,487
"621",2006-09-13,515
"622",2006-09-14,673
"623",2006-09-15,645
"624",2006-09-16,444
"625",2006-09-17,453
"626",2006-09-18,528
"627",2006-09-19,609
"628",2006-09-20,567
"629",2006-09-21,622
"630",2006-09-22,780
"631",2006-09-23,538
"632",2006-09-24,433
"633",2006-09-25,556
"634",2006-09-26,567
"635",2006-09-27,487
"636",2006-09-28,527
"637",2006-09-29,784
"638",2006-09-30,591
"639",2006-10-01,461
