ID,Name,Sex,Age,Height,Weight,Team,Year,Season,Sport,Medal
882,Simon Addo,M,17,180,79,Ghana,1992,Summer,Football,Bronze
896,Olubayo Adefemi,M,22,181,82,Nigeria,2008,Summer,Football,Silver
908,"Ayodele ""Dele"" Adeleye",M,19,190,80,Nigeria,2008,Summer,Football,Silver
918,Ademir Roque Kaefer,M,24,179,74,Brazil,1984,Summer,Football,Silver
918,Ademir Roque Kaefer,M,28,179,74,Brazil,1988,Summer,Football,Silver
923,Olapade Charles Adeniken,M,22,186,78,Nigeria,1992,Summer,Athletics,Silver
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,Brazil,2012,Summer,Volleyball,Gold
953,Franck Adisson,M,23,180,70,France-1,1992,Summer,Canoeing,Bronze
953,Franck Adisson,M,26,180,70,France-1,1996,Summer,Canoeing,Gold
956,"Richard ""Richy""  Adjei",M,27,190,110,Germany-2,2010,Winter,Bobsleigh,Silver
963,Derrick Ralph Adkins,M,26,188,80,United States,1996,Summer,Athletics,Gold
966,Daniel Adler,M,26,180,72,Brazil,1984,Summer,Sailing,Silver
967,Egon Adler,M,23,172,62,Germany,1960,Summer,Cycling,Silver
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,2008,Summer,Swimming,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,2008,Summer,Swimming,Gold
980,"Rebecca ""Becky"" Adlington",F,23,179,70,Great Britain,2012,Summer,Swimming,Bronze
980,"Rebecca ""Becky"" Adlington",F,23,179,70,Great Britain,2012,Summer,Swimming,Bronze
1000,Dainius Adomaitis,M,26,202,100,Lithuania,2000,Summer,Basketball,Bronze
1017,Nathan Ghar-Jun Adrian,M,19,198,100,United States,2008,Summer,Swimming,Gold
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,2012,Summer,Swimming,Gold
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,2012,Summer,Swimming,Silver
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,2012,Summer,Swimming,Gold
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Swimming,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Swimming,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Swimming,Gold
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Swimming,Gold
1020,Adriana Aparecida dos Santos,F,25,180,61,Brazil,1996,Summer,Basketball,Silver
1020,Adriana Aparecida dos Santos,F,29,180,61,Brazil,2000,Summer,Basketball,Bronze
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21,170,65,Brazil,2000,Summer,Basketball,Bronze
1025,Attila Adrovicz,M,30,189,87,Hungary,1996,Summer,Canoeing,Silver
1046,Klaus Aeffke,M,24,189,82,Germany,1964,Summer,Rowing,Silver
1071,Kseniya Dmitriyevna Afanasyeva,F,20,158,48,Russia,2012,Summer,Gymnastics,Silver
1085,Maksim Sergeyevich Afinogenov,M,22,183,88,Russia,2002,Winter,Ice Hockey,Bronze
1088,"Olabisi ""Bisi"" Afolabi",F,20,180,62,Nigeria,1996,Summer,Athletics,Silver
1094,Felicia Afrsiloaie (-Jitianu),F,22,178,70,Romania,1976,Summer,Rowing,Bronze
1095,Cecil Sebastian Afrika,M,28,175,75,South Africa,2016,Summer,Rugby Sevens,Bronze
1104,Muhammad Afzal Manna,M,25,173,76,Pakistan,1964,Summer,Hockey,Silver
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,South Africa,2016,Summer,Rugby Sevens,Bronze
1109,Lavinia Agache (-Carney),F,16,148,40,Romania,1984,Summer,Gymnastics,Gold
1109,Lavinia Agache (-Carney),F,16,148,40,Romania,1984,Summer,Gymnastics,Bronze
1114,Luca Agamennoni,M,24,187,93,Italy,2004,Summer,Rowing,Bronze
1114,Luca Agamennoni,M,27,187,93,Italy,2008,Summer,Rowing,Silver
1122,Andre Kirk Agassi,M,26,180,80,United States,1996,Summer,Tennis,Gold
1131,Clarisse Agbegnenou,F,23,164,66,France,2016,Summer,Judo,Silver
1147,Viktor Ivanovich Ageyev,M,20,184,80,Soviet Union,1956,Summer,Water Polo,Bronze
1147,Viktor Ivanovich Ageyev,M,24,184,80,Soviet Union,1960,Summer,Water Polo,Silver
1147,Viktor Ivanovich Ageyev,M,28,184,80,Soviet Union,1964,Summer,Water Polo,Bronze
1169,Marilyn Agliotti,F,29,172,58,Netherlands,2008,Summer,Hockey,Gold
1169,Marilyn Agliotti,F,33,172,58,Netherlands,2012,Summer,Hockey,Gold
1173,Yannick Agnel,M,20,202,90,France,2012,Summer,Swimming,Gold
