title,series,author,rating,language,genres,pages,publisher,publish year,numRatings,likedPercent,price
Stone Cold Touch,The Dark Elements #2,Jennifer L. Armentrout (Goodreads Author),4.29,English,"['Paranormal', 'Fantasy', 'Young Adult', 'Romance', 'Demons', 'Paranormal Romance', 'Urban Fantasy', 'New Adult', 'Supernatural', 'Angels']",464,Harlequin Teen,2014,32303,96,
Undone,Will Trent #3,Karin Slaughter (Goodreads Author),4.22,English,"['Thriller', 'Mystery', 'Crime', 'Fiction', 'Suspense', 'Mystery Thriller', 'Drama', 'Audiobook', 'Dark', 'Novels']",436,Delacorte Press,2009,39630,97,6.4
The Hollow Kingdom,The Hollow Kingdom Trilogy #1,Clare B. Dunkle,4.08,English,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Fiction', 'Fairy Tales', 'Historical Fiction', 'Young Adult Fantasy', 'Historical', 'Adventure']",230,Henry Holt & Company,2006,9933,92,2.86
Bloodhound,Beka Cooper #2,Tamora Pierce (Goodreads Author),4.27,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Mystery', 'Young Adult Fantasy', 'Adventure', 'High Fantasy', 'Teen', 'Romance']",554,Random House,2009,35263,97,4.23
Martin Chuzzlewit,,"Charles Dickens, Patricia Ingham (Annotations), Hablot Knight Browne (Illustrator)",3.83,English,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'British Literature', 'Classic Literature', 'Historical Fiction', 'English Literature', 'Novels']",830,Penguin Classics,1999,14745,90,3.11
A Single Man,,Christopher Isherwood,4.1,English,"['Fiction', 'LGBT', 'Classics', 'Queer', 'Gay', '20th Century', 'Literary Fiction', 'Novels', 'British Literature', 'Literature']",192,Univ Of Minnesota Press,2001,23814,94,5.43
Crush,Crash #3,Nicole Williams (Goodreads Author),4.22,English,"['New Adult', 'Romance', 'Contemporary', 'Young Adult', 'Sports', 'College', 'Contemporary Romance', 'Sports Romance', 'Fiction', 'Chick Lit']",389,HarperCollins,2013,30595,95,10.15
Airborn,Matt Cruse #1,Kenneth Oppel (Goodreads Author),4.17,English,"['Steampunk', 'Fantasy', 'Young Adult', 'Science Fiction', 'Adventure', 'Fiction', 'Teen', 'Pirates', 'Audiobook', 'Middle Grade']",501,HarperCollins,2005,23399,96,6.87
The Boys from Brazil,,Ira Levin,4.05,English,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Horror', 'Science Fiction', 'Drama', 'Historical Fiction', 'Crime', 'Novels']",312,Random House,1976,36271,96,5.26
The Wind Through the Keyhole,The Dark Tower #4.5,"Stephen King (Goodreads Author), Jae Lee (Illustrator)",4.15,English,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Westerns', 'Audiobook', 'Adventure', 'Science Fiction Fantasy', 'Novels', 'Dark Fantasy']",322,Scribner,2012,66133,97,
Jewels of the Sun,Gallaghers of Ardmore #1,Nora Roberts (Goodreads Author),4.22,English,"['Romance', 'Contemporary Romance', 'Fiction', 'Fantasy', 'Contemporary', 'Paranormal', 'Ireland', 'Paranormal Romance', 'Chick Lit', 'Adult']",347,Jove,1999,59717,96,2.86
Beyond the Highland Mist,Highlander #1,Karen Marie Moning (Goodreads Author),3.97,English,"['Romance', 'Time Travel', 'Historical Romance', 'Fantasy', 'Paranormal Romance', 'Paranormal', 'Historical', 'Historical Fiction', 'Fae', 'Adult']",375,Dell,2007,65350,91,5.81
"He, She and It",,Marge Piercy,3.98,English,"['Science Fiction', 'Fiction', 'Dystopia', 'Fantasy', 'Feminism', 'Romance', 'Speculative Fiction', 'Cyberpunk', 'Science Fiction Fantasy', 'Novels']",448,Fawcett,1993,5176,92,5.27
Evolution of Insanity,,Haresh Daswani (Goodreads Author),4.29,English,"['Psychology', 'Short Stories', 'Fiction']",159,Lulu,2011,70,91,
Cascade,River of Time #2,Lisa Tawn Bergren (Goodreads Author),4.25,English,"['Time Travel', 'Historical Fiction', 'Young Adult', 'Fantasy', 'Romance', 'Historical', 'Christian Fiction', 'Christian', 'Fiction', 'Adventure']",399,David C. Cook,2011,10418,96,9.82
Castle of Wizardry,The Belgariad #4,David Eddings,4.14,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic', 'Young Adult', 'Epic', 'Audiobook']",375,Del Rey,1984,70150,96,3.96
Night Road,,Kristin Hannah (Goodreads Author),4.18,English,"['Fiction', 'Chick Lit', 'Romance', 'Contemporary', 'Adult Fiction', 'Drama', 'Adult', 'Audiobook', 'Family', 'Womens Fiction']",385,St. Martin's Press,2011,93956,96,4.28
Philosophical Investigations,,"Ludwig Wittgenstein, G.E.M. Anscombe (Translator)",4.24,English,"['Philosophy', 'Nonfiction', 'Language', 'Classics', 'Linguistics', 'German Literature', 'Academic', 'Theory', '20th Century', 'Psychology']",464,"Blackwell Publishing, Inc.",2001,12555,94,34.15
Pan,,"Knut Hamsun, Sverre Lyngstad (Translator)",3.89,English,"['Classics', 'Fiction', 'Scandinavian Literature', 'Literature', 'Novels', '19th Century', 'Romance', 'Nobel Prize', 'Fantasy', 'Literary Fiction']",181,Penguin Classics,1998,7748,92,15.37
The Sun and Her Flowers,,Rupi Kaur (Goodreads Author),4.16,English,"['Poetry', 'Feminism', 'Nonfiction', 'Adult', 'Contemporary', 'Romance', 'Mental Health', 'Canada', 'Womens', 'Love']",256,Andrews McMeel Publishing,2017,142061,93,6
Dance of Death,Pendergast #6,"Douglas Preston (Goodreads Author), Lincoln Child",4.16,English,"['Thriller', 'Mystery', 'Fiction', 'Horror', 'Suspense', 'Mystery Thriller', 'Crime', 'Adventure', 'Audiobook', 'Detective']",560,Warner Books,2006,29407,97,1.91
Body of Evidence,Kay Scarpetta #2,Patricia Cornwell (Goodreads Author),4.02,English,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Murder Mystery', 'Detective', 'Adult', 'Audiobook']",403,Pocket Books,2004,67574,97,3.11
Romancing Mister Bridgerton,Bridgertons #4,Julia Quinn (Goodreads Author),4.18,English,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Regency Romance', 'Adult', 'Chick Lit', 'Humor']",370,Avon,2002,47402,96,6.18
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",,S.C. Gwynne,4.17,English,"['History', 'Nonfiction', 'Biography', 'American History', 'Native Americans', 'Historical', 'Westerns', 'War', 'Audiobook', 'Native American History']",384,Scribner,2010,33719,95,17.53
"Geisha, a Life",,"Mineko Iwasaki, Rande Brown (Translator)",3.92,English,"['Nonfiction', 'Japan', 'Biography', 'Memoir', 'History', 'Asia', 'Autobiography', 'Historical', 'Japanese Literature', 'Biography Memoir']",297,Washington Square Press,2003,20156,93,3.78
Incidents in the Life of a Slave Girl,,Harriet Ann Jacobs,4.13,English,"['Nonfiction', 'History', 'Classics', 'Memoir', 'Biography', 'African American', 'Autobiography', 'Historical', 'School', 'Race']",176,Dover Publications,2001,42799,95,5.15
The Gladiator,Roman trilogy #1,Carla Capshaw (Goodreads Author),4.14,English,"['Romance', 'Historical Fiction', 'Christian Fiction', 'Historical', 'Historical Romance', 'Christian', 'Love Inspired', 'Christian Romance', 'Love Inspired Historical', 'Fiction']",282,Steeple Hill Love Inspired Historical,2009,706,92,1.76
The Happy Prince and Other Tales,,Oscar Wilde,4.14,English,"['Classics', 'Short Stories', 'Fiction', 'Fantasy', 'Childrens', 'Fairy Tales', '19th Century', 'Literature', 'Irish Literature', 'British Literature']",96,Everyman's Library,1995,15434,96,14.37
Exit Unicorns,Exit Unicorns #1,Cindy Brandner (Goodreads Author),3.98,English,"['Historical Fiction', 'Ireland', 'Fiction', 'Romance', 'Historical', 'Irish Literature', 'Historical Romance', 'Adult Fiction']",500,Authorhouse,2001,1211,89,10.53
This Thing of Darkness,,Harry Thompson,4.5,English,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Literary Fiction', 'Travel', 'Literature', 'Historical Romance', 'Evolution', 'Modern']",626,Review,1905,2192,97,0.87
Dawn,Xenogenesis #1,Octavia E. Butler,4.13,English,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Aliens', 'Post Apocalyptic', 'Speculative Fiction', 'Dystopia', 'Horror', 'Adult']",248,Warner Books,1997,28978,96,15.72
Prometheus Bound,,"Aeschylus, James Scully (Translator), C. John Herington (Translator)",3.96,English,"['Classics', 'Plays', 'Drama', 'Mythology', 'Fiction', 'Theatre', 'Literature', 'Poetry', 'Greece', 'School']",144,"Oxford University Press, USA",1990,11811,94,9.96
Captured,The Captive #1,Erica Stevens (Goodreads Author),4.04,English,"['Vampires', 'Paranormal', 'Romance', 'Fantasy', 'Paranormal Romance', 'Young Adult', 'Dystopia', 'New Adult', 'Supernatural', 'Urban Fantasy']",168,Gilmour-Cox,2012,17998,92,
Welcome to Night Vale,Welcome to Night Vale #1,"Joseph Fink, Jeffrey Cranor",3.84,English,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Humor', 'Mystery', 'Audiobook', 'Paranormal', 'Urban Fantasy', 'Adult']",401,Harper Perennial,2015,32784,89,1.64
A Lover's Discourse: Fragments,,"Roland Barthes, Richard Howard (Translator), Wayne Koestenbaum (Foreword)",4.37,English,"['Philosophy', 'Nonfiction', 'Essays', 'Theory', 'France', 'Love', 'Classics', 'Literature', 'Literary Criticism', 'Poetry']",234,Hill and Wang,1905,7545,97,7.35
Little Children,,Tom Perrotta,3.63,English,"['Fiction', 'Contemporary', 'Adult Fiction', 'Literary Fiction', 'Novels', 'Adult', 'Book Club', 'Drama', 'Family', 'Marriage']",355,St. Martin's Griffin,2005,29648,89,2.86
To Green Angel Tower,"Memory, Sorrow, and Thorn #3",Tad Williams (Goodreads Author),4.18,English,"['Fantasy', 'Epic Fantasy', 'Fiction', 'Science Fiction Fantasy', 'High Fantasy', 'Epic', 'Adventure', 'Magic', 'Speculative Fiction', 'Young Adult']",1083,DAW,2005,31300,96,16.07
A Time to Love and a Time to Die,,"Erich Maria Remarque, Denver Lindley (translator)",4.4,English,"['Classics', 'Fiction', 'War', 'Historical Fiction', 'German Literature', 'Germany', 'Novels', 'Romance', 'World War II', 'Literature']",379,"Harcourt, Brace and Company",1905,9167,98,5.44
Scarlet,Scarlet #1,A.C. Gaughen (Goodreads Author),3.93,English,"['Young Adult', 'Historical Fiction', 'Fantasy', 'Romance', 'Retellings', 'Historical', 'Adventure', 'Fiction', 'Fairy Tales', 'Young Adult Fantasy']",287,Walker Childrens,2012,23644,90,5.51
Skeleton Key,Alex Rider #3,Anthony Horowitz (Goodreads Author),4.07,English,"['Young Adult', 'Adventure', 'Fiction', 'Espionage', 'Mystery', 'Action', 'Thriller', 'Childrens', 'Teen', 'Middle Grade']",327,Puffin Books,2006,48256,95,3.35
First Rider's Call,Green Rider #2,Kristen Britain,4.21,English,"['Fantasy', 'Fiction', 'Magic', 'High Fantasy', 'Adventure', 'Young Adult', 'Epic Fantasy', 'Science Fiction Fantasy', 'Romance', 'Adult']",596,DAW,2004,20791,97,10.17
Wieża Jaskółki,The Witcher #4,Andrzej Sapkowski,4.27,Polish,"['Fantasy', 'Fiction', 'Polish Literature', 'High Fantasy', 'Audiobook', 'Adventure', 'Epic Fantasy', 'Magic', 'Adult', 'Science Fiction Fantasy']",428,superNOWA,1905,46666,97,5.93
The Sicilian,The Godfather #2,Mario Puzo,3.98,English,"['Fiction', 'Crime', 'Thriller', 'Historical Fiction', 'Classics', 'Mystery', 'Novels', 'Italy', 'Drama', 'Mystery Thriller']",416,Ballantine Books,2001,20407,95,8.13
The Almond Tree,,Michelle Cohen Corasanti (Goodreads Author),4.12,English,"['Historical Fiction', 'Fiction', 'War', 'Historical', 'Contemporary', 'Drama', 'Family', 'Adult', 'Politics', 'Religion']",348,Garnet Publishing,2012,5369,93,4.82
Moll Flanders,,"Daniel Defoe, Mark Schorer, Georgina Sutton (Narrator)",3.52,English,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', '18th Century', 'British Literature', 'Novels', 'Classic Literature', 'Historical', 'School']",339,Wordsworth Editions,1993,40567,85,
Adam Bede,,"George Eliot, Joanna Trollope (Introduction), Hugh Osborne (Endnotes)",3.79,English,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Victorian', 'British Literature', 'Romance', 'English Literature', 'Novels']",624,Modern Library,2002,22950,90,5.34
Rashōmon and Seventeen Other Stories,,"Ryūnosuke Akutagawa, Jay Rubin (Translator), Haruki Murakami (Introduction), Yoshihiro Tatsumi (Illustrator)",4.14,English,"['Short Stories', 'Fiction', 'Japan', 'Japanese Literature', 'Classics', 'Literature', 'Historical Fiction', 'Asia', '20th Century', 'Asian Literature']",268,Penguin Classics,2006,6214,97,5.99
"Speak, Memory",,Vladimir Nabokov,4.14,English,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Russia', 'Autobiography', 'Russian Literature', 'Biography Memoir', 'Literature', '20th Century']",255,Penguin,2000,12636,94,
Blue Noon,Midnighters #3,Scott Westerfeld (Goodreads Author),3.86,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Fiction', 'Science Fiction', 'Urban Fantasy', 'Supernatural', 'Teen', 'Magic', 'Young Adult Fantasy']",384,Eos,2007,16214,92,9.28
The Wednesday Wars,,Gary D. Schmidt,4.09,English,"['Historical Fiction', 'Young Adult', 'Fiction', 'Middle Grade', 'Realistic Fiction', 'Historical', 'Childrens', 'Coming Of Age', 'Humor', 'Audiobook']",264,Clarion Books,2007,36066,94,3.99
Deep Storm,Jeremy Logan #1,Lincoln Child,3.88,English,"['Thriller', 'Fiction', 'Mystery', 'Science Fiction', 'Adventure', 'Suspense', 'Mystery Thriller', 'Action', 'Audiobook', 'Horror']",370,Doubleday Books,2007,26862,93,6.6
The Line of Beauty,,Alan Hollinghurst,3.74,English,"['Fiction', 'LGBT', 'Queer', 'Gay', 'Literary Fiction', 'British Literature', 'Contemporary', 'Historical Fiction', 'Novels', 'Literature']",438,Bloomsbury,1905,22312,87,6.01
Farmer Boy,Little House #2,"Laura Ingalls Wilder, Garth Williams (Illustrator)",4.06,English,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Juvenile', 'Audiobook', 'Chapter Books']",357,HarperTrophy,2007,56789,94,3.99
The Poet,Jack McEvoy #1,Michael Connelly (Goodreads Author),4.2,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective', 'Audiobook', 'Police', 'Adult']",510,Grand Central Publishing,2002,81935,97,4.39
Tick Tock,,Dean Koontz (Goodreads Author),3.73,English,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Fantasy', 'Paranormal', 'Supernatural', 'Mystery Thriller', 'Romance']",352,Random House,1996,31200,89,6.12
Antigone,,"Jean Anouilh, Lewis Galantière (Translator)",3.82,English,"['Plays', 'Classics', 'France', 'Theatre', 'Drama', 'Fiction', 'School', 'French Literature', 'Read For School', 'Mythology']",72,Methuen Publishing,1960,17105,90,3.89
The Complete Tales and Poems of Winnie-the-Pooh,Winnie-the-Pooh #1-4,"A.A. Milne, Ernest H. Shepard (Illustrator)",4.48,English,"['Classics', 'Childrens', 'Fiction', 'Poetry', 'Fantasy', 'Short Stories', 'Picture Books', 'Animals', 'Literature', 'Young Adult']",557,Dutton Books for Young Readers,2001,43302,97,7.33
"Molloy, Malone Dies, The Unnamable",The Trilogy #1-3,Samuel Beckett,4.28,English,"['Fiction', 'Classics', 'Literature', 'Novels', 'Irish Literature', 'Ireland', 'Philosophy', '20th Century', 'Plays', 'Literary Fiction']",512,Everyman's Library,1997,8117,94,16.67
Oh. My. Gods.,Oh. My. Gods. #1,Tera Lynn Childs (Goodreads Author),3.79,English,"['Young Adult', 'Mythology', 'Fantasy', 'Romance', 'Paranormal', 'Greek Mythology', 'Fiction', 'Magic', 'Chick Lit', 'Teen']",272,Dutton Juvenile,2008,14771,89,5.79
The Changeling,Weald Fae Journals #2,Christopher Shields (Goodreads Author),4.13,English,"['Fantasy', 'Fae', 'Urban Fantasy', 'Young Adult', 'Paranormal', 'Fairies', 'Magic', 'Action', 'Romance', 'Suspense']",300,Weald Fae Journals,2012,330,95,
The Falls,,Joyce Carol Oates,3.58,English,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Contemporary', 'American', 'Novels', 'Literature', 'The United States Of America', 'Audiobook', 'Family']",512,Harper Perennial,2005,9779,87,2.86
Mr. Nice,,Howard Marks,3.89,English,"['Nonfiction', 'Biography', 'Autobiography', 'Crime', 'True Crime', 'Memoir', 'Biography Memoir', 'Contemporary', 'British Literature', 'Unfinished']",560,Canongate UK,2003,8180,93,5.26
One Second After,After #1,William R. Forstchen,3.93,English,"['Fiction', 'Post Apocalyptic', 'Science Fiction', 'Apocalyptic', 'Dystopia', 'Thriller', 'Survival', 'Audiobook', 'War', 'Adult']",352,Forge Books,2009,49202,90,8.1
Ice Cold,Rizzoli & Isles #8,Tess Gerritsen (Goodreads Author),4.15,English,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Suspense', 'Mystery Thriller', 'Detective', 'Adult', 'Murder Mystery', 'Audiobook']",322,Ballantine Books,2010,41397,96,3.17
Awakening the Fire,Guardian Witch #1,Ally Shields (Goodreads Author),3.73,English,"['Urban Fantasy', 'Vampires', 'Paranormal', 'Fantasy', 'Magic', 'Witches', 'Romance', 'Werewolves', 'Shapeshifters', 'Supernatural']",245,Etopia Press,2012,1141,90,
Memoirs of an Imaginary Friend,,Matthew Dicks (Goodreads Author),4.12,English,"['Fiction', 'Fantasy', 'Contemporary', 'Young Adult', 'Adult', 'Adult Fiction', 'Magical Realism', 'Audiobook', 'Book Club', 'Novels']",311,St. Martin's Press,2012,28923,95,4.3
Awakening,The Keeper #1,O.L. Ramos (Goodreads Author),3.69,English,"['Paranormal Romance', 'Vampires', 'Adult', 'Urban Fantasy', 'Amazon', 'Young Adult', 'Fantasy']",260,Harrell Publishing,2013,417,81,
The Never War,Pendragon #3,D.J. MacHale (Goodreads Author),4.13,English,"['Fantasy', 'Young Adult', 'Science Fiction', 'Fiction', 'Adventure', 'Childrens', 'Time Travel', 'Middle Grade', 'Historical Fiction', 'Teen']",352,Brilliance Audio,2005,28746,95,
The 7 Habits Of Highly Effective Teens,,Sean Covey,4.07,English,"['Self Help', 'Nonfiction', 'Psychology', 'School', 'Personal Development', 'Parenting', 'Education', 'Teen', 'Business', 'Read For School']",268,Simon Schuster,1998,29162,91,4.21
Tríada,Memorias de Idhún #2,Laura Gallego García,4.12,Spanish,"['Fantasy', 'Young Adult', 'Romance', 'Spanish Literature', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'Novels', 'Childrens']",766,SM,1905,10532,94,12.4
Socrates In Love,,Kyōichi Katayama,3.63,English,"['Romance', 'Fiction', 'Japan', 'Japanese Literature', 'Young Adult', 'Manga', 'Contemporary', 'Drama', 'Novels', 'Asian Literature']",208,VIZ Media LLC,2005,4814,87,5.73
The Flame of Olympus,Pegasus #1,Kate O'Hearn,4.25,English,"['Fantasy', 'Mythology', 'Middle Grade', 'Young Adult', 'Adventure', 'Childrens', 'Fiction', 'Magic', 'Animals', 'Greek Mythology']",385,Hodder Children's Books,2013,9093,94,
The Healer's Apprentice,Hagenheim #1,Melanie Dickerson (Goodreads Author),3.82,English,"['Historical Fiction', 'Romance', 'Young Adult', 'Fantasy', 'Christian Fiction', 'Christian', 'Historical', 'Fairy Tales', 'Fiction', 'Retellings']",272,Zondervan,2010,17697,88,10.65
A Dance with Dragons 2: After the Feast,A Song of Ice and Fire (1-in-2) #10,George R.R. Martin,4.43,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Dragons', 'Adventure', 'Novels', 'Science Fiction Fantasy', 'Magic']",578,Harper Voyager,2012,23724,98,3.11
Dumplin',Dumplin' #1,Julie Murphy (Goodreads Author),3.9,English,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Teen', 'Young Adult Contemporary', 'Coming Of Age', 'Chick Lit']",371,Balzer + Bray,2015,71595,93,2.69
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,,Ann Rule,4.13,English,"['True Crime', 'Nonfiction', 'Crime', 'Biography', 'Audiobook', 'Memoir', 'Mystery', 'History', 'Horror', 'Adult']",548,Signet,2001,73610,95,1.75
Archangel's Consort,Guild Hunter #3,Nalini Singh (Goodreads Author),4.23,English,"['Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Angels', 'Romance', 'Fantasy', 'Vampires', 'Adult', 'Supernatural', 'Fiction']",324,Gollancz,2011,37303,96,1.11
Les Rois maudits,,Maurice Druon,4.51,French,"['Historical Fiction', 'Fiction', 'France', 'Historical', 'Classics', '20th Century', 'Roman', 'French Literature', 'Literature', '14th Century']",1620,Plon,1999,1996,99,22.11
Plague of Angels,The Descended #1,John Patrick Kennedy (Goodreads Author),3.48,English,"['Fantasy', 'Angels', 'Paranormal', 'Fiction', 'Mythology', 'Demons', 'Dark', 'Supernatural', 'Romance', 'Urban Fantasy']",416,Dark Trope Publishing,2013,1024,74,
Unscrupulous,The Manhattanites #1,Avery Aster (Goodreads Author),3.7,English,"['Romance', 'Erotica', 'Contemporary', 'Contemporary Romance', 'Erotic Romance', 'Humor', 'Chick Lit', 'Adult', 'Amazon', 'Adult Fiction']",260,Ellora's Cave Publishing Inc.,2013,1872,85,
Magic America,,C.E. Medford (Goodreads Author),3.81,English,"['Magical Realism', 'Fantasy', 'Fiction', 'Young Adult', 'Coming Of Age', 'New Adult', 'Science Fiction Fantasy', 'New Weird', 'Science Fiction', 'Magic']",244,CreateSpace,2014,342,83,8.1
Happy Ever After,Bride Quartet #4,Nora Roberts (Goodreads Author),4.17,English,"['Romance', 'Contemporary Romance', 'Contemporary', 'Chick Lit', 'Fiction', 'Adult', 'Audiobook', 'Adult Fiction', 'Family', 'Love']",333,Brilliance Audio,2010,53176,96,8.73
Graffiti Moon,,Cath Crowley (Goodreads Author),3.89,English,"['Young Adult', 'Contemporary', 'Romance', 'Realistic Fiction', 'Fiction', 'Art', 'Young Adult Contemporary', 'Australia', 'Teen', 'Audiobook']",264,Pan Macmillan Australia,2010,19274,89,9.64
The Keep,Adversary Cycle #1,F. Paul Wilson (Goodreads Author),3.99,English,"['Horror', 'Fiction', 'Fantasy', 'Vampires', 'Thriller', 'Historical Fiction', 'Supernatural', 'Mystery', 'Paranormal', 'War']",403,Tor Books,2006,17205,93,22.77
The Woman Who Walked Into Doors,Paula Spencer #1,Roddy Doyle,3.84,English,"['Fiction', 'Ireland', 'Irish Literature', 'Contemporary', 'Literary Fiction', 'Novels', 'Abuse', 'Literature', 'School', '20th Century']",240,Penguin Books,1997,9214,93,3.44
False Step,,Victoria Helen Stone (Goodreads Author),3.5,English,"['Thriller', 'Mystery', 'Fiction', 'Suspense', 'Contemporary', 'Drama', 'Mystery Thriller', 'Adult', 'Crime', 'Modern']",269,Lake Union Publishing,2019,15612,82,6.27
The Singing,The Books of Pellinor #4,Alison Croggon (Goodreads Author),4.22,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Young Adult Fantasy', 'High Fantasy', 'Adventure', 'Epic Fantasy', 'Science Fiction Fantasy', 'Romance']",496,Walker Books,2008,12645,96,0.85
Kon-Tiki,,Thor Heyerdahl,4.13,English,"['Nonfiction', 'Travel', 'Adventure', 'History', 'Classics', 'Biography', 'Memoir', 'Anthropology', 'Science', 'Biography Memoir']",240,Rand McNally,1990,19546,96,7.34
Morning Glory,,LaVyrle Spencer,4.26,English,"['Romance', 'Historical Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Westerns', 'World War II', 'Contemporary', 'Adult', 'Western Romance']",480,Grafton / HarperCollins,1905,11869,96,3.11
How to Be a Woman,,Caitlin Moran,3.73,English,"['Nonfiction', 'Feminism', 'Memoir', 'Humor', 'Biography', 'Audiobook', 'Womens', 'Biography Memoir', 'Essays', 'Autobiography']",312,Ebury Press,2011,99174,86,2.71
The Emperor's Code,The 39 Clues #8,Gordon Korman,4.05,English,"['Mystery', 'Adventure', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Fantasy', 'Audiobook', 'Juvenile', 'Action']",190,Scholastic Inc.,2010,41786,93,2.71
حائر بين الحلال والحرام,,إحسان عبد القدوس,3.56,Arabic,"['Short Stories', 'Fiction', 'Literature']",160,الهيئة المصرية العامة للكتاب,1905,807,87,
Misty of Chincoteague,Misty #1,"Marguerite Henry, Wesley Dennis (Illustrator)",4.05,English,"['Childrens', 'Fiction', 'Classics', 'Horses', 'Animals', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Juvenile', 'Chapter Books']",176,Aladdin,2006,41461,94,1.91
Lasher,Lives of the Mayfair Witches #2,Anne Rice,3.86,English,"['Horror', 'Fantasy', 'Fiction', 'Paranormal', 'Witches', 'Supernatural', 'Urban Fantasy', 'Vampires', 'Gothic', 'Adult']",400,Arrow Books,2004,56057,91,3.4
The Unabridged Journals of Sylvia Plath,,"Sylvia Plath, Karen V. Kukil (Editor)",4.27,English,"['Nonfiction', 'Poetry', 'Biography', 'Memoir', 'Classics', 'Biography Memoir', 'Autobiography', 'Mental Illness', 'Journal', 'Mental Health']",732,Anchor,2000,16632,96,19.11
God's Smuggler,,"Brother Andrew, Elizabeth Sherrill (Goodreads Author) (Contributor), John Sherrill (Contributor)",4.34,English,"['Christian', 'Biography', 'Nonfiction', 'History', 'Christianity', 'Faith', 'Memoir', 'Religion', 'Christian Non Fiction', 'Autobiography']",256,Chosen Books,2012,32910,96,4.36
Cabin Fever,Diary of a Wimpy Kid #6,Jeff Kinney (Goodreads Author),4.24,English,"['Humor', 'Fiction', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'Graphic Novels', 'Young Adult', 'Comedy', 'Comics', 'Diary']",224,Amulet Books,2011,95974,94,4.17
جدارية,,Mahmoud Darwish,4.31,Arabic,"['Poetry', 'Literature', 'Philosophy', 'Anthologies', 'Nonfiction', 'Classics']",105,رياض الريس للكتب والنشر,1905,5502,95,1.189.88
Sourcery,Discworld #5,Terry Pratchett,3.89,English,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Magic', 'Audiobook', 'Adventure', 'High Fantasy', 'Science Fiction']",276,Harper,2008,81055,95,6.9
The Enchanted Forest Chronicles,Enchanted Forest Chronicles #1-4,Patricia C. Wrede (Goodreads Author),4.48,English,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Childrens', 'Adventure', 'Science Fiction Fantasy', 'Humor', 'Middle Grade', 'Magic']",1056,Hmh Books for Young Readers,2003,9801,98,19.58
Killers of the Dawn,Cirque du Freak #9,Darren Shan (Goodreads Author),4.23,English,"['Fantasy', 'Young Adult', 'Horror', 'Vampires', 'Paranormal', 'Fiction', 'Supernatural', 'Adventure', 'Urban Fantasy', 'Childrens']",206,"Little, Brown Young Readers",2006,22796,96,3.16
The Inheritance Cycle,The Inheritance Cycle #1-4,"Christopher Paolini (Goodreads Author), Joannis Stefanidis (Translator), Michaela Link (Translator)",4.5,English,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'Childrens', 'Teen', 'Novels', 'Romance']",2912,Knopf Books for Young Readers,2011,8943,97,30.53
Leo Africanus,,"Amin Maalouf (Goodreads Author), Peter Sluglett (Translator)",4.19,English,"['Historical Fiction', 'Fiction', 'Novels', 'Africa', 'France', 'Historical', 'Literature', 'Roman', 'French Literature', 'Lebanon']",370,New Amsterdam Books,1998,11161,97,5.39
