title,series,author,rating,language,genres,pages,publisher,publish year,numRatings,likedPercent,price
Starters,Starters #1,Lissa Price (Goodreads Author),3.9,English,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Romance', 'Fiction', 'Post Apocalyptic', 'Teen', 'Mystery', 'Futuristic']",352,Delacorte Books for Young Readers,2012,40601,92,3.17
Brighton Rock,,"Graham Greene, J.M. Coetzee (Introduction)",3.67,English,"['Fiction', 'Classics', 'Crime', 'Mystery', 'Thriller', 'British Literature', 'Literature', 'Novels', '20th Century', 'Dark']",269,Vintage,2004,28474,87,
The Bone Season,The Bone Season #1,Samantha Shannon (Goodreads Author),3.76,English,"['Fantasy', 'Young Adult', 'Dystopia', 'Fiction', 'Paranormal', 'Science Fiction', 'Urban Fantasy', 'Romance', 'Adult', 'Audiobook']",466,Bloomsbury USA,2013,58816,87,5.26
Mila 18,,Leon Uris,4.3,English,"['Historical Fiction', 'Fiction', 'Holocaust', 'World War II', 'Historical', 'War', 'Jewish', 'Classics', 'Literature', 'Poland']",563,Bantam,1983,23605,98,2.51
Duma Key,,Stephen King (Goodreads Author),3.95,English,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Mystery', 'Audiobook', 'Suspense', 'Paranormal', 'Novels']",611,Scribner Book Company,2008,100260,93,5.26
Arcadia,,Tom Stoppard,4.19,English,"['Plays', 'Drama', 'Fiction', 'Theatre', 'Classics', 'Historical Fiction', 'School', 'Literature', 'British Literature', '20th Century']",97,Faber Faber,1994,19062,94,0.85
Hell's Angels,,"Hunter S. Thompson, Sylvie Durastanti (Translator)",3.97,French,"['Nonfiction', 'History', 'Journalism', 'Memoir', 'Biography', 'Crime', 'Classics', 'True Crime', 'American', 'Sociology']",295,Robert Laffont,2000,42674,94,8.94
Infidel,,Ayaan Hirsi Ali,4.2,English,"['Nonfiction', 'Memoir', 'Biography', 'Religion', 'Africa', 'Politics', 'Islam', 'Autobiography', 'Feminism', 'Biography Memoir']",353,Free Press,2007,78475,95,3.17
Crossing to Safety,,"Wallace Stegner, Terry Tempest Williams (Introduction), T.H. Watkins (Afterword)",4.16,English,"['Fiction', 'Classics', 'Literary Fiction', 'Book Club', 'Novels', 'Literature', 'Historical Fiction', 'American', 'Contemporary', 'Adult Fiction']",368,Modern Library,2002,38046,95,2.51
The Shelters of Stone,Earth's Children #5,Jean M. Auel,3.82,English,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Romance', 'Prehistoric', 'Adventure', 'Adult', 'Adult Fiction', 'Audiobook']",891,Bantam,2004,42263,89,3.32
